Clé	Biome_String	Nom_Complet		Biome	Terrain	Libellé	Emoji	Distribution	Altitude (m)	Temp.(ahpe)	Preci.(ahpe)	Vitesse_humaine_(kmh)	Vitesse_véhicule_route_non_carrossée_(kmh)	Franchissable	Carrossable	Solide	Limitrophes	Description
093	9️⃣ Toundra ❄️	3️⃣Tourbière arctique🛖💦	3️⃣	9	3	Tourbière arctique	🛖💦	10	70	(3°C,-14°C,4°C,11°C)	(40mm,25mm,45mm,50mm)	2	5	TRUE	FALSE	FALSE	1(10%),2(15%),4(10%),6(15%),7(20%),8(20%),5(10%)	Zone humide où la matière organique s’accumule lentement, riche en biodiversité mais instable et peu praticable
094	9️⃣ Toundra ❄️	4️⃣Sol gelé (pergélisol)❄️🪨	4️⃣	9	4	Sol gelé (pergélisol)	❄️🪨	15	90	(1°C,-18°C,2°C,8°C)	(15mm,8mm,20mm,25mm)	2	5	TRUE	FALSE	TRUE	1(20%),2(15%),3(10%),5(10%),6(15%),7(10%),8(20%)	Terrain durci par le froid et parfois impraticable, pouvant renfermer des ressources fossilisées ou gelées sous la glace
095	9️⃣ Toundra ❄️	5️⃣Lac gelé🌊❄️	5️⃣	9	5	Lac gelé	🌊❄️	10	60	(0°C,-20°C,1°C,7°C)	(20mm,10mm,25mm,30mm)	1	0	FALSE	FALSE	FALSE	2(10%),3(10%),4(10%),6(15%),7(15%),8(20%),1(20%)	Étendue d’eau souvent prise par la glace, pouvant devenir un point de passage temporaire en hiver
096	9️⃣ Toundra ❄️	6️⃣Rivière de toundra💧❄️	6️⃣	9	6	Rivière de toundra	💧❄️	10	50	(2°C,-16°C,3°C,9°C)	(30mm,15mm,35mm,40mm)	2	5	TRUE	FALSE	FALSE	1(15%),2(10%),3(15%),4(15%),5(10%),7(20%),8(15%)	Cours d’eau très froid, alimenté par la fonte des neiges et pouvant être partiellement gelé selon la saison
097	9️⃣ Toundra ❄️	7️⃣Plaine rocailleuse🏞️🪨	7️⃣	9	7	Plaine rocailleuse	🏞️🪨	10	100	(1°C,-19°C,2°C,8°C)	(15mm,10mm,20mm,25mm)	2	5	TRUE	FALSE	TRUE	1(20%),2(20%),3(20%),4(10%),5(10%),6(10%),8(10%)	Terrain jonché de pierres, pauvre en végétation, pouvant contenir des minéraux rares et marquant parfois la transition vers les montagnes
098	9️⃣ Toundra ❄️	8️⃣Glacier isolé🏔️❄️	8️⃣	9	8	Glacier isolé	🏔️❄️	10	200	(-2°C,-25°C,-1°C,5°C)	(10mm,5mm,15mm,20mm)	1	0	FALSE	FALSE	TRUE	1(20%),2(15%),3(20%),4(20%),5(10%),6(5%),7(10%)	Petite calotte de glace permanente, potentielle réserve d’eau douce lors de la fonte, mais pratiquement infranchissable pour un humain non équipé
101	🔟 Littoral froid 🌊❄️	1️⃣Plage glacée🏖️❄️	1️⃣	10	1	Plage glacée	🏖️❄️	15	5	(2°C,-10°C,3°C,8°C)	(60mm,40mm,70mm,50mm)	3	8	TRUE	FALSE	TRUE	2(15%),3(20%),4(10%),5(15%),6(10%),7(5%),8(25%)	Étendue de sable ou galets recouverte de glace en hiver, parfois impraticable selon la saison
102	🔟 Littoral froid 🌊❄️	2️⃣Côte rocheuse froide🪨🌊❄️	2️⃣	10	2	Côte rocheuse froide	🪨🌊❄️	15	20	(1°C,-12°C,2°C,7°C)	(70mm,50mm,80mm,60mm)	2	8	TRUE	FALSE	TRUE	1(15%),3(10%),4(10%),5(15%),6(20%),7(10%),8(20%)	Falaises abruptes battues par le vent et le froid, pouvant renfermer des grottes marines ou abriter des colonies animales
103	🔟 Littoral froid 🌊❄️	3️⃣Toundra côtière🌿❄️	3️⃣	10	3	Toundra côtière	🌿❄️	15	10	(0°C,-15°C,1°C,6°C)	(40mm,25mm,50mm,45mm)	3	8	TRUE	FALSE	TRUE	1(20%),2(10%),4(15%),5(15%),6(10%),7(10%),8(20%)	Végétation basse et résistante au froid, faisant la transition entre la mer gelée et les terres intérieures
104	🔟 Littoral froid 🌊❄️	4️⃣Forêt boréale côtière🌲❄️	4️⃣	10	4	Forêt boréale côtière	🌲❄️	10	50	(2°C,-10°C,3°C,9°C)	(65mm,45mm,75mm,55mm)	3	10	TRUE	FALSE	TRUE	1(10%),2(10%),3(15%),5(15%),6(15%),7(10%),8(25%)	Conifères adaptés aux embruns et au froid, formant une zone boisée rare mais présente en bord de mer
105	🔟 Littoral froid 🌊❄️	5️⃣Marais salé arctique🛖💦❄️	5️⃣	10	5	Marais salé arctique	🛖💦❄️	15	2	(3°C,-8°C,4°C,10°C)	(75mm,60mm,85mm,70mm)	2	5	TRUE	FALSE	FALSE	1(15%),2(15%),3(15%),4(15%),6(10%),7(10%),8(20%)	Zone humide influencée par les marées et le gel, riche en biodiversité malgré des conditions extrêmes
106	🔟 Littoral froid 🌊❄️	6️⃣Fjord⛰️🌊❄️	6️⃣	10	6	Fjord	⛰️🌊❄️	10	30	(1°C,-12°C,2°C,7°C)	(80mm,55mm,90mm,65mm)	2	5	TRUE	FALSE	TRUE	1(10%),2(20%),3(10%),4(15%),5(10%),7(10%),8(25%)	Entrée de mer encaissée entre reliefs froids, site remarquable mais difficile d’accès et soumis aux tempêtes
107	🔟 Littoral froid 🌊❄️	7️⃣Iceberg dérivant🏔️🌊❄️	7️⃣	10	7	Iceberg dérivant	🏔️🌊❄️	10	0	(-1°C,-20°C,0°C,3°C)	(20mm,15mm,30mm,25mm)	1	0	FALSE	FALSE	FALSE	1(5%),2(10%),3(10%),4(10%),5(10%),6(10%),8(45%)	Bloc de glace flottant pouvant constituer un obstacle ou une ressource en eau douce, se déplaçant au gré des courants
108	🔟 Littoral froid 🌊❄️	8️⃣Banquise côtière❄️🌊	8️⃣	10	8	Banquise côtière	❄️🌊	10	0	(0°C,-18°C,1°C,5°C)	(30mm,20mm,40mm,35mm)	2	5	TRUE	FALSE	FALSE	1(25%),2(20%),3(20%),4(25%),5(20%),6(25%),7(45%)	Mer gelée le long des rivages, praticable en hiver comme voie de passage temporaire, mais sujette aux ruptures de glace
111	1️⃣1️⃣ Jungle tropicale 🌴	1️⃣Forêt tropicale dense🌳🌴	1️⃣	11	1	Forêt tropicale dense	🌳🌴	25	150	(26°C,22°C,28°C,32°C)	(300mm,150mm,350mm,400mm)	2	5	TRUE	FALSE	TRUE	2(15%),3(10%),4(10%),5(15%),7(15%),8(20%),6(10%)	Grande concentration d’arbres tropicaux (palmiers, ceibas, acajous), d’accès difficile mais riche en ressources
112	1️⃣1️⃣ Jungle tropicale 🌴	2️⃣Forêt tropicale clairsemée🌴🍂	2️⃣	11	2	Forêt tropicale clairsemée	🌴🍂	15	130	(27°C,21°C,29°C,33°C)	(250mm,120mm,300mm,350mm)	3	10	TRUE	FALSE	TRUE	1(15%),3(10%),4(10%),5(10%),6(10%),7(20%),8(25%)	Zones avec des clairières et des arbres plus espacés, formant une transition entre la jungle dense et d’autres terrains
113	1️⃣1️⃣ Jungle tropicale 🌴	3️⃣Rivière tropicale💧	3️⃣	11	3	Rivière tropicale	💧	10	100	(26°C,20°C,28°C,32°C)	(280mm,100mm,320mm,380mm)	3	5	TRUE	FALSE	FALSE	1(10%),2(10%),4(15%),5(10%),6(20%),7(15%),8(20%)	Eau douce essentielle, souvent sinueuse, source de poissons et de transport fluvial
114	1️⃣1️⃣ Jungle tropicale 🌴	4️⃣Marécage tropical🛖💦	4️⃣	11	4	Marécage tropical	🛖💦	10	80	(27°C,21°C,29°C,34°C)	(320mm,200mm,400mm,450mm)	2	3	TRUE	FALSE	FALSE	1(10%),2(10%),3(15%),5(10%),6(10%),7(20%),8(25%)	Zone humide avec mangroves et tourbières, riche en faune mais difficilement praticable
115	1️⃣1️⃣ Jungle tropicale 🌴	5️⃣Colline boisée tropicale⛰️🌴	5️⃣	11	5	Colline boisée tropicale	⛰️🌴	15	200	(24°C,18°C,25°C,29°C)	(200mm,100mm,250mm,300mm)	3	8	TRUE	FALSE	TRUE	1(15%),2(10%),3(10%),4(10%),6(10%),7(15%),8(30%)	Relief couvert de jungle, offrant une diversité de paysages et pouvant receler grottes ou ressources précieuses
116	1️⃣1️⃣ Jungle tropicale 🌴	6️⃣Lac tropical🌊	6️⃣	11	6	Lac tropical	🌊	10	120	(25°C,19°C,27°C,31°C)	(220mm,110mm,280mm,330mm)	1	5	FALSE	FALSE	FALSE	1(5%),2(10%),3(20%),4(10%),5(10%),7(15%),8(30%)	Étendue d’eau douce entourée de végétation luxuriante, abritant une biodiversité unique
117	1️⃣1️⃣ Jungle tropicale 🌴	7️⃣Sol boueux🏞️	7️⃣	11	7	Sol boueux	🏞️	10	90	(27°C,22°C,29°C,33°C)	(310mm,160mm,340mm,420mm)	2	3	TRUE	FALSE	TRUE	1(15%),2(20%),3(15%),4(20%),5(15%),6(5%),8(10%)	Terrain humide et glissant, souvent formé après de fortes pluies, limitant les déplacements et l’aménagement
118	1️⃣1️⃣ Jungle tropicale 🌴	8️⃣Clairière fertile🌿	8️⃣	11	8	Clairière fertile	🌿	5	110	(26°C,20°C,28°C,32°C)	(260mm,110mm,300mm,360mm)	4	12	TRUE	TRUE	TRUE	1(20%),2(25%),3(20%),4(25%),5(30%),6(5%),7(10%)	Zone ouverte avec une végétation plus basse, exploitable pour l’agriculture tropicale
121	1️⃣2️⃣ Littoral tropical 🌊🌴	1️⃣Plage de sable blanc🏖️	1️⃣	12	1	Plage de sable blanc	🏖️	20	10	(28°C,25°C,30°C,35°C)	(200mm,100mm,300mm,400mm)	5	15	TRUE	TRUE	TRUE	2(15%),3(10%),4(10%),5(10%),7(15%),8(10%),6(10%)	Étendue de sable fin, chaude et ensoleillée, pouvant accueillir cocotiers et coquillages
122	1️⃣2️⃣ Littoral tropical 🌊🌴	2️⃣Côte rocheuse tropicale🪨🌊	2️⃣	12	2	Côte rocheuse tropicale	🪨🌊	15	20	(27°C,24°C,29°C,34°C)	(180mm,80mm,250mm,350mm)	3	8	TRUE	FALSE	TRUE	1(15%),3(10%),4(15%),5(10%),7(10%),8(15%),6(10%)	Falaises abruptes sculptées par les vagues, renfermant parfois grottes marines et colonies d’oiseaux
123	1️⃣2️⃣ Littoral tropical 🌊🌴	3️⃣Forêt côtière tropicale🌳🌴	3️⃣	12	3	Forêt côtière tropicale	🌳🌴	15	30	(26°C,23°C,28°C,33°C)	(250mm,150mm,350mm,450mm)	3	10	TRUE	FALSE	TRUE	1(10%),2(10%),4(10%),7(20%),5(10%),8(25%),6(15%)	Végétation dense adaptée au climat marin, avec palmiers et figuiers étrangleurs, faisant la transition vers la jungle
124	1️⃣2️⃣ Littoral tropical 🌊🌴	4️⃣Mangrove🛖💦	4️⃣	12	4	Mangrove	🛖💦	10	5	(27°C,24°C,29°C,34°C)	(300mm,200mm,400mm,500mm)	2	5	TRUE	FALSE	TRUE	1(10%),2(15%),3(10%),5(15%),7(10%),8(20%),6(20%)	Zone humide aux arbres enracinés dans l’eau salée, essentielle pour la biodiversité et la protection côtière
125	1️⃣2️⃣ Littoral tropical 🌊🌴	5️⃣Lagune tropicale🌊🦀	5️⃣	12	5	Lagune tropicale	🌊🦀	10	5	(28°C,25°C,30°C,35°C)	(200mm,150mm,300mm,350mm)	2	5	FALSE	FALSE	FALSE	1(10%),2(10%),3(10%),4(15%),7(10%),8(15%),6(30%)	Étendue d’eau calme séparée de la mer par une bande de terre, abritant une riche vie aquatique
126	1️⃣2️⃣ Littoral tropical 🌊🌴	6️⃣Récif corallien🪸🐠	6️⃣	12	6	Récif corallien	🪸🐠	10	0	(28°C,26°C,31°C,35°C)	(200mm,120mm,280mm,350mm)	1	0	FALSE	FALSE	FALSE	1(10%),2(10%),3(15%),4(20%),5(30%),7(5%),8(10%)	Zone sous-marine aux coraux et poissons tropicaux, prisée pour la plongée et la pêche
127	1️⃣2️⃣ Littoral tropical 🌊🌴	7️⃣Dune côtière tropicale⏳🌴	7️⃣	12	7	Dune côtière tropicale	⏳🌴	10	15	(29°C,25°C,31°C,36°C)	(150mm,60mm,200mm,300mm)	4	12	TRUE	TRUE	TRUE	1(15%),2(10%),3(20%),4(10%),5(10%),6(5%),8(30%)	Buttes de sable stabilisées par une végétation résistante, protégeant l’intérieur des terres contre l’érosion
128	1️⃣2️⃣ Littoral tropical 🌊🌴	8️⃣Îlot tropical🏝️	8️⃣	12	8	Îlot tropical	🏝️	10	10	(29°C,26°C,32°C,36°C)	(250mm,120mm,300mm,380mm)	3	8	FALSE	FALSE	TRUE	1(10%),2(15%),3(25%),4(20%),5(15%),6(10%),7(5%)	Petite île couverte de végétation, souvent isolée, pouvant servir de refuge pour la faune ou offrir des ressources rares
131	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	1️⃣Plage de sable doré🏖️	1️⃣	13	1	Plage de sable doré	🏖️	20	5	(19°C,10°C,22°C,28°C)	(50mm,80mm,40mm,20mm)	5	20	TRUE	TRUE	TRUE	2(15%),3(10%),4(10%),5(15%),6(10%),7(15%),8(25%)	Étendue de sable fin et chaud, pouvant comporter des dunes stabilisées par la végétation
132	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	2️⃣Côte rocheuse méditerranéenne🪨🌊	2️⃣	13	2	Côte rocheuse méditerranéenne	🪨🌊	15	20	(18°C,9°C,20°C,27°C)	(60mm,100mm,50mm,30mm)	4	10	TRUE	FALSE	TRUE	1(15%),3(15%),4(10%),5(10%),6(10%),7(20%),8(20%)	Falaises calcaires abruptes battues par les vagues, avec des grottes marines et des criques cachées
133	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	3️⃣Forêt méditerranéenne🌳🌿	3️⃣	13	3	Forêt méditerranéenne	🌳🌿	15	30	(17°C,8°C,19°C,27°C)	(70mm,110mm,60mm,25mm)	3	10	TRUE	FALSE	TRUE	1(10%),2(15%),4(10%),5(15%),6(15%),7(15%),8(20%)	Pins parasols, oliviers et chênes verts, formant la transition entre la côte et l’intérieur des terres
134	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	4️⃣Garrigue🌿🍂	4️⃣	13	4	Garrigue	🌿🍂	10	15	(18°C,9°C,20°C,29°C)	(50mm,90mm,40mm,20mm)	4	15	TRUE	TRUE	TRUE	1(10%),2(10%),3(10%),5(20%),6(15%),7(20%),8(15%)	Végétation basse et buissonnante (thym, lavande, romarin), sol sec mais riche en biodiversité
135	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	5️⃣Maquis🌾🌳	5️⃣	13	5	Maquis	🌾🌳	10	25	(19°C,10°C,21°C,30°C)	(55mm,95mm,45mm,25mm)	3	8	TRUE	FALSE	TRUE	1(15%),2(10%),3(15%),4(20%),6(15%),7(15%),8(10%)	Végétation plus dense que la garrigue, composée d’arbustes et de petits arbres, abritant une faune variée
136	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	6️⃣Lagune méditerranéenne🌊🦀	6️⃣	13	6	Lagune méditerranéenne	🌊🦀	10	5	(20°C,11°C,23°C,31°C)	(70mm,120mm,60mm,30mm)	2	0	FALSE	FALSE	FALSE	1(10%),2(10%),3(15%),4(10%),5(10%),7(20%),8(25%)	Étendue d’eau peu profonde séparée de la mer, riche en faune et flore aquatique
137	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	7️⃣Rivière côtière💧🌿	7️⃣	13	7	Rivière côtière	💧🌿	10	10	(18°C,8°C,20°C,28°C)	(80mm,110mm,70mm,35mm)	3	5	TRUE	FALSE	FALSE	1(15%),2(10%),3(15%),4(20%),5(10%),6(15%),8(15%)	Cours d’eau descendant des collines vers la mer, essentiel pour l’agriculture et la biodiversité locale
138	1️⃣3️⃣ Littoral méditerranéen 🌊☀️	8️⃣Îlot rocheux🏝️🪨	8️⃣	13	8	Îlot rocheux	🏝️🪨	10	0	(19°C,11°C,21°C,29°C)	(55mm,100mm,45mm,25mm)	2	0	FALSE	FALSE	TRUE	1(25%),2(20%),3(20%),4(10%),5(10%),6(5%),7(10%)	Petite île escarpée au large, pouvant abriter des colonies d’oiseaux marins et parfois des ressources rares
141	1️⃣4️⃣ Montagne ⛰️	1️⃣Sommet rocheux⛰️🪨	1️⃣	14	1	Sommet rocheux	⛰️🪨	15	3000	(-2°C,-10°C,0°C,5°C)	(80mm,60mm,100mm,90mm)	2	0	TRUE	FALSE	TRUE	2(10%),3(20%),7(30%),4(10%),5(10%),6(10%),8(10%)	Zone la plus haute, souvent enneigée ou stérile, à l’accès difficile. Peut contenir des minerais rares et offre des panoramas spectaculaires
142	1️⃣4️⃣ Montagne ⛰️	2️⃣Flanc de montagne🏔️	2️⃣	14	2	Flanc de montagne	🏔️	15	2200	(3°C,-5°C,5°C,13°C)	(70mm,50mm,90mm,80mm)	3	5	TRUE	FALSE	TRUE	1(15%),3(15%),4(10%),5(10%),6(20%),7(10%),8(20%)	Pentes abruptes recouvertes de roches et de végétation alpine, pouvant abriter grottes et sources d’eau
143	1️⃣4️⃣ Montagne ⛰️	3️⃣Col de montagne🌄	3️⃣	14	3	Col de montagne	🌄	15	1800	(2°C,-7°C,4°C,12°C)	(60mm,45mm,80mm,75mm)	3	8	TRUE	TRUE	TRUE	2(15%),4(15%),5(10%),6(20%),1(20%),7(10%),8(10%)	Passage entre deux sommets, plus praticable et utilisé par la faune et les voyageurs pour contourner les altitudes extrêmes
144	1️⃣4️⃣ Montagne ⛰️	4️⃣Forêt alpine🌲	4️⃣	14	4	Forêt alpine	🌲	10	1500	(5°C,-3°C,8°C,15°C)	(90mm,60mm,100mm,85mm)	3	10	TRUE	FALSE	TRUE	2(10%),3(15%),5(20%),6(10%),8(15%),1(10%),7(20%)	Conifères adaptés au froid et aux conditions difficiles, formant la transition entre la plaine et les zones rocheuses plus élevées
145	1️⃣4️⃣ Montagne ⛰️	5️⃣Plaine d’altitude🌿	5️⃣	14	5	Plaine d’altitude	🌿	15	1200	(7°C,-2°C,10°C,18°C)	(70mm,50mm,80mm,70mm)	4	15	TRUE	TRUE	TRUE	3(10%),4(20%),6(20%),2(10%),8(10%),1(10%),7(20%)	Plateau herbeux à moyenne altitude, pouvant servir au pâturage d’animaux adaptés, plus hospitalier que les zones plus élevées
146	1️⃣4️⃣ Montagne ⛰️	6️⃣Vallée encaissée🌊🏞️	6️⃣	14	6	Vallée encaissée	🌊🏞️	15	800	(9°C,0°C,12°C,20°C)	(100mm,70mm,110mm,90mm)	4	12	TRUE	TRUE	TRUE	3(20%),4(10%),5(20%),8(15%),2(15%),1(5%),7(15%)	Creux entre les montagnes, souvent traversé par une rivière, plus fertile et propice à la vie que les hauteurs
147	1️⃣4️⃣ Montagne ⛰️	7️⃣Glacier❄️🏔️	7️⃣	14	7	Glacier	❄️🏔️	10	2800	(-5°C,-15°C,-2°C,3°C)	(50mm,30mm,60mm,55mm)	1	0	FALSE	FALSE	TRUE	1(30%),2(10%),3(10%),5(10%),6(15%),8(10%),4(15%)	Masse de glace permanente, pouvant alimenter les vallées en eau douce lors de la fonte saisonnière, mais quasi infranchissable sans équipement
148	1️⃣4️⃣ Montagne ⛰️	8️⃣Rivière de montagne💧🏔️	8️⃣	14	8	Rivière de montagne	💧🏔️	5	1000	(6°C,-1°C,9°C,16°C)	(110mm,65mm,120mm,95mm)	3	5	TRUE	FALSE	FALSE	2(20%),3(10%),4(15%),5(10%),6(15%),1(10%),7(20%)	Cours d’eau rapide issu des sommets, creusant parfois des gorges et utile comme source d’énergie hydraulique et d’irrigation
151	1️⃣5️⃣ Volcanique 🌋	1️⃣Cratère volcanique🌋	1️⃣	15	1	Cratère volcanique	🌋	15	2200	(18°C,5°C,20°C,27°C)	(60mm,30mm,70mm,50mm)	2	0	TRUE	FALSE	TRUE	2(15%),3(10%),4(15%),5(10%),6(15%),7(20%),8(15%)	Sommet du volcan parfois actif ou éteint, pouvant contenir un lac de lave ou des fumerolles
152	1️⃣5️⃣ Volcanique 🌋	2️⃣Coulée de lave refroidie🪨🔥	2️⃣	15	2	Coulée de lave refroidie	🪨🔥	15	1800	(17°C,4°C,19°C,26°C)	(55mm,25mm,65mm,45mm)	2	5	TRUE	TRUE	TRUE	1(15%),3(10%),4(10%),5(15%),6(15%),7(15%),8(20%)	Étendue de basalte noir issue d’anciennes éruptions, difficilement praticable mais recelant des minéraux rares
153	1️⃣5️⃣ Volcanique 🌋	3️⃣Champ de cendres🌫️	3️⃣	15	3	Champ de cendres	🌫️	10	1500	(16°C,3°C,18°C,25°C)	(50mm,20mm,60mm,40mm)	3	8	TRUE	TRUE	TRUE	1(10%),2(10%),4(20%),5(15%),6(15%),7(15%),8(15%)	Zone recouverte de cendres volcaniques, peu fertile mais propice à l’installation de plantes pionnières
154	1️⃣5️⃣ Volcanique 🌋	4️⃣Source chaude💦♨️	4️⃣	15	4	Source chaude	💦♨️	10	1300	(18°C,6°C,21°C,28°C)	(70mm,35mm,80mm,55mm)	3	5	TRUE	FALSE	TRUE	1(15%),2(10%),3(10%),5(10%),6(15%),7(15%),8(25%)	Point d’eau souterrain chauffé par l’activité géothermique, exploitable comme source de chaleur ou d’énergie
155	1️⃣5️⃣ Volcanique 🌋	5️⃣Fumerolles et geysers🌫️♨️	5️⃣	15	5	Fumerolles et geysers	🌫️♨️	10	1700	(17°C,5°C,20°C,27°C)	(75mm,40mm,85mm,60mm)	2	0	TRUE	FALSE	TRUE	1(10%),2(15%),3(15%),4(10%),6(15%),7(15%),8(20%)	Zones où gaz volcaniques et vapeur s’échappent du sol, spectacles naturels mais difficiles à habiter
156	1️⃣5️⃣ Volcanique 🌋	6️⃣Faille tectonique🏔️🪨	6️⃣	15	6	Faille tectonique	🏔️🪨	10	1600	(16°C,3°C,19°C,26°C)	(60mm,30mm,70mm,50mm)	2	0	TRUE	FALSE	TRUE	1(15%),2(15%),3(15%),4(10%),5(10%),7(15%),8(20%)	Crevasses profondes dans la croûte terrestre, pouvant provoquer éruptions ou séismes
157	1️⃣5️⃣ Volcanique 🌋	7️⃣Plaine basaltique🌑	7️⃣	15	7	Plaine basaltique	🌑	15	1400	(18°C,6°C,20°C,28°C)	(65mm,35mm,75mm,55mm)	4	10	TRUE	TRUE	TRUE	1(20%),2(15%),3(15%),4(10%),5(10%),6(10%),8(20%)	Étendue de roche volcanique solidifiée, stable mais peu fertile, pouvant abriter une végétation rare
158	1️⃣5️⃣ Volcanique 🌋	8️⃣Flanc de volcan⛰️🔥	8️⃣	15	8	Flanc de volcan	⛰️🔥	15	2000	(17°C,4°C,19°C,26°C)	(60mm,25mm,70mm,50mm)	3	5	TRUE	FALSE	TRUE	1(20%),2(15%),3(15%),4(15%),5(10%),6(10%),7(15%)	Pentes abruptes du volcan sujettes aux éboulements, reliant le sommet aux plaines ou à d’autres biomes montagneux
